DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 04,Hardin,37.716616,-85.747836,County,KYTC,047C00095N,02,3,2021-08-24,720.0,Good,No,Local,2020s,,8,7,8,127.0,Miller Road,Trib. of Youngers Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 08,Cumberland,36.832097222,-85.452316667,County,KYTC,029C00065N,02,3,2022-08-03,420.0,Fair,No,Local,1990s,,6,6,7,,Dutchman's Lane,Dutch Creek,"2 Span 35' Continuous 7"" Reinforced Concrete Slab",P Posted for load,18.0,1 Highway,5 Waterway
District 11,Leslie,37.090833333,-83.255277778,KYTC,CONTRACTOR,066B00075N,01,3,2021-11-23,686.0,Good,No,State,2020s,State Secondary,8,8,8,914.0,KY 699,Maggards Branch,"24'-6"" CB12X48 PPC Box Beams - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 04,Nelson,37.911944444,-85.318333333,KYTC,KYTC,090B00125N,01,3,2022-10-12,2739.0,Good,No,State,2020s,State Secondary,7,8,8,3685.0,KY 48,E. Fork of Simpson Creek,,"A Open, no restriction",,1 Highway,5 Waterway
District 04,Marion,37.557165991,-85.416796606,County,KYTC,078C00129N,02,3,2012-11-13,554.0,Good,No,Local,2000s,,7,7,7,56.0,J E BICKETT RD,CHERRY CREEK,B4   1 - 36 STEEL STRINGER SPAN,"A Open, no restriction",,1 Highway,5 Waterway
District 05,Jefferson,38.220686111,-85.505833333,KYTC,CONTRACTOR,056B00549N,01,3,2023-06-20,11183.0,Fair,Yes,State,2020s,State Primary (Interst.),7,8,6,71346.0,I-265,I-64 EB TO I-265 NB,1 (102 FT) PPC I-BEAM SPAN,"A Open, no restriction",,1 Highway,1 Highway
District 09,Elliott,38.094931515,-83.151604496,KYTC,KYTC,032B00030N,01,3,2023-03-01,645.0,Fair,No,State,1970s,Supplemental Road,5,5,5,70.0,KY-755,SOUTH RUIN CREEK,39 SPAN PRESTRESSED CONCRETE SLAB,"A Open, no restriction",,1 Highway,5 Waterway
District 12,Knott,37.272222222,-82.862222222,County,CONTRACTOR,060C00091N,02,3,2021-11-23,544.0,Good,No,Local,2020s,,8,8,8,291.0,Collins Branch Rd,Carr Fork,"34'-0"" CB12x48 PPC Box Beam ~Single Span","A Open, no restriction",,1 Highway,5 Waterway
District 01,McCracken,37.064722222,-88.621666667,City,KYTC,073C00086N,04,3,2021-07-23,848.0,Good,No,Local,2020s,,8,8,8,,SOUTH 24TH ST.,BR. OF ISLAND CREEK,1-32' SPREAD BOX BEAM SPAN,"A Open, no restriction",,5 Highway-pedestrian,5 Waterway
District 12,Letcher,37.114166667,-82.854722222,County,KYTC,067C00101N,02,3,2021-08-16,840.0,Good,No,Local,2020s,,7,8,8,200.0,Orchard Road,North Fork KY River,"68'-6"" PPC Box Beam, CB27, Simple Span","A Open, no restriction",,1 Highway,5 Waterway
