TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Highway Improvement,District 03,Todd,251113,03-80001.00,,NHPP,NHPP 0791 (008),SCOTTY'S CONTRACTING & STONE LLC,DE11000792513,2025-08-21,7723698.52,7723698.52
Safety,District 12,Various,254001,12-00977.00,,HSIP,HSIP 9010(733),M&M SERVICES CO INC,1212199992501,2025-08-21,161429.0,161429.0
Highway Improvement,District 03,Metcalfe,251114,03-08706.00,STP,,STP 5105 (052),SCOTTY'S CONTRACTING & STONE LLC,DE08500682514,2025-08-21,2826306.54,2826306.54
Highway Improvement,District 01,Marshall,251115,01-20034.00,,NHPP,NHPP 0241(095),JIM SMITH CONTRACTING COMPANY LLC,DE07900242515,2025-08-21,10142639.13,10142639.13
Pavement Asset Management,District 11,Bell,252332,,,FD05,FD05 007 0074 011-014,HINKLE CONTRACTING COMPANY LLC,MP00700742501,2025-08-21,1287371.68,367189.95
Pavement Asset Management,District 11,Bell,252332,,,FD05,FD05 007 0186 001-003,HINKLE CONTRACTING COMPANY LLC,MP00701862501,2025-08-21,1287371.68,263209.55
Pavement Asset Management,District 11,Bell,252332,,,FD05,FD05 007 2079 000-004,HINKLE CONTRACTING COMPANY LLC,MP00720792502,2025-08-21,1287371.68,656972.19
Bridge Asset Management,District 06,Boone,252952,06-10061.00,,FD04,FD04 008 0275 013-014,SOUTHERN ROAD & BRIDGE LLC,MB008027552,2025-08-21,2479338.0,2160192.5
Highway Improvement,District 08,Rockcastle,251022,08-08952.00,,NHPP,NHPP 4611(008),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10204612522,2025-08-21,35987096.82,24081710.22
Highway Improvement,District 08,Rockcastle,251022,08-80106.00,,NHPP,NHPP 5201(009),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10200252522,2025-08-21,35987096.82,11905386.6
Highway Improvement,District 06,Campbell,251018,06-20049.00,STP,,STP 5390(014),EATON ASPHALT PAVING CO INC,DE01900082518,2025-08-21,2027174.48,2027174.48
