TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Rural Roads Projects,District 01,Ballard,,CR 1129,COUNTRY CLUB EST,C,CB01,,1100,,1403401C,0.0200,DRAINAGE STRUCTURE,0,0,14034,2021-09-16,REPLACE DRAINAGE STRUCTURE AT APPROX. MILEPOINT 0.310,COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK (SEE ATTACHMENT). RS EMERGENCY FUNDS WILL BE USED FOR THIS PROJECT.,2022,2022,7192.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,U,FD52,Z0E1,1100,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2022,2026,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,R,FD52,Y001,1100,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2026,2026,80000.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,D,FD52,,1300,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2025,2026,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,D,FD52,Z001,1300,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2021,2026,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,D,FD52,Z001,1200,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2021,2026,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,D,FD52,Y115,1100,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2025,2026,0.0
Highway Improvement,District 01,Ballard,,CR 1300,DR. MAYNOR LANE (CR 1300),C,CA03,,1100,,2158801C,0.0050,FLOOD DAMAGE REPAIR,0,0,21588,2026-08-11,FLOOD DAMAGE REPAIR - FROM PADUCAH RD WEST .111 MILES (MP .112) EXTENDING WEST TO ENDING MP .117,CRA FUNDS WILL BE USED FOR THIS PROJECT. CHECKS WILL BE ISSUED DIRECTLY TO THE COUNTY. COUNTY IS RESPONSIBLE FOR ALL PHASES OF WORK.,2027,2027,28000.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,D,FD52,Z001,1100,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2021,2026,0.0
Bridge Asset Management,District 01,Ballard,01-01140.01,US 51,US 51,U,FD52,Z0E1,1200,,8580701R,,BRIDGE REPLACEMENT,6,6,85807,2026-05-21,PE AND ENVIRONMENTAL FOR REPLACEMENT OF CAIRO BRIDGE AT OR BESIDE EXISTING LOCATION. (004B00021N)(SD)(18CCR) (2022CCR) (2024CCR),THIS MODIFICATION PROVIDES ADDITIONAL FD52 NHPPBR FUNDS WITH STATE MATCHING FUNDS FOR RIGHT OF WAY.,2022,2026,0.0
