DISTRICT,COUNTY,LATITUDE,LONGITUDE,OWNERSHIP,LOAD_RATING_AGENCY,BRIDGE_ID,OWNER,ADMINAREA,RATINGDATE,DECK_AREA,GFP,NHS,STATE_LOCAL,DECADE,SS_CODE,DECK_RATING,SUB_RATING,SUPER_RATING,ADT,FACILITY_CARRIED,FEATURE_INTERSECT,BRIDGE_DESCRIPTION,POSTED,GROSS_POSTING,SERVICE_ON,SERVICE_UNDER
District 07,Anderson,38.064366667,-85.01695,County,KYTC,003C00067N,02,3,2021-07-15,593.0,Good,No,Local,2020s,,7,8,7,,TRACY RD,Branch of Benson Creek,30' SINGLE SPAN WEATHERING STEEL STRINGER,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.0256,-84.8818,County,KYTC,003C00068N,02,3,2021-07-15,507.0,Good,No,Local,2020s,,8,8,8,,BOND & LILLARD RD,CEDAR BROOK,32' SINGLE SPAN WEATHERING STEEL STRINGER,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.026944444,-85.109742,KYTC,CONTRACTOR,003B00062N,01,3,2023-09-20,5684.0,Good,No,State,2020s,State Secondary,8,8,8,385.0,KY 44,Crooked Creek,65'x84'x65' SB42 ~ 30° Skew Left ~ Continuous,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Madison,37.844583333,-84.161186111,County,CONTRACTOR,076C00103N,02,3,2021-11-08,1180.0,Fair,No,Local,2020s,,7,8,6,,Doylesville Rd,BR of Muddy Creek,"57'-6"" Simple Span CB27x48 Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 07,Madison,37.730369,-84.425974,County,KYTC,076C00102N,02,3,2021-04-21,484.61,Good,No,Local,2020s,,N,N,N,116.0,Bogie mill road,Bogie Branch,,P Posted for load,25.0,1 Highway,5 Waterway
District 07,Anderson,37.941056,-85.052223,County,KYTC,003C00065N,02,3,2020-07-08,450.0,Good,No,Local,2010s,,8,8,8,,Duncan Road,Beaver Creek,25 ft. - single span weathering steel stringer ,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Madison,37.843611111,-84.327222222,KYTC,KYTC,076B00123N,01,3,2023-03-14,22486.1,Good,No,State,2020s,State Primary (Other),7,7,7,9828.0,KY-627,I75,,"A Open, no restriction",,1 Highway,1 Highway
District 07,Anderson,37.973649,-84.824798,County,KYTC,003C00066N,02,3,2020-07-08,1620.0,Good,No,Local,2010s,,8,8,8,,Gilberts Creek Rd,Gilberts Creek,81 Foot - 2 Span Steel Stringer/Multi-beam or Girder,P Posted for load,35.0,1 Highway,5 Waterway
District 07,Garrard,37.589722222,-84.546666667,KYTC,CONTRACTOR,040B00046N,01,3,2023-11-15,760.0,Good,No,State,2020s,Rural Secondary,8,8,8,544.0,KY-1972,Gilberts Creek,"36'-6"" Simple Span CB17x48 Box Beams","A Open, no restriction",,1 Highway,5 Waterway
District 07,Mercer,37.881388889,-84.983055556,County,CONTRACTOR,084C00053N,02,3,2020-12-21,829.5,Good,No,Local,2020s,,8,8,8,73.0,STRATTON RD,BRUSH CREEK,40' - 2 span steel stringer/multi-beam,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Montgomery,38.056388889,-83.936944444,KYTC,CONTRACTOR,087B00070N,01,3,2023-11-15,576.0,Good,No,State,2020s,State Secondary,8,7,8,1257.0,KY-713,Hinkston Creek,"22'-6"" CB12x48 PPC Box Beams - Simple Span","A Open, no restriction",,1 Highway,5 Waterway
District 07,Mercer,37.80957,-84.76911,KYTC,KYTC,084B00054N,01,3,2023-09-21,1278.0,Good,No,State,2010s,State Primary (Other),8,7,8,2055.0,US 68,SHAKER CREEK ,36.5 FT SINGLE SPAN SPREAD BOX BEAM,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Scott,38.265105,-84.526443,City,KYTC,105C00118N,04,3,2017-07-05,667.92,Good,No,Local,1990s,,N,N,N,574.0,ENTERPRISE WAY,LANES RUN,2 span concrete box culvert,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Bourbon,38.301266,-84.154629,KYTC,KYTC,009B00076N,01,3,2023-06-27,7030.5,Fair,Yes,State,2010s,State Primary (Other),6,7,7,6759.0,US 68,HINKSTON CREEK,163.5 FT SINGLE SPAN PCI BEAM STRINGER /  MULTI GIRDER,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Montgomery,37.968888889,-83.826944444,KYTC,KYTC,087B00068N,01,3,2023-01-08,15900.1,Good,No,State,2010s,State Primary (Other),8,8,8,4571.0,US 460,SLATE CREEK,,"A Open, no restriction",,1 Highway,5 Waterway
District 07,Anderson,38.111819382,-85.005755924,County,KYTC,003C00043N,02,3,2016-06-09,1418.0,Fair,No,Local,1980s,,6,5,5,29.0,CRAWFORD ROAD,BENSON CREEK,94.5 FT 24.5 - 47 - 23 FT STEEL BEAM SPANS,P Posted for load,27.0,1 Highway,5 Waterway
District 07,Clark,37.981178216,-84.072157542,KYTC,KYTC,025B00058L,01,3,2022-05-04,5600.0,Fair,Yes,State,1960s,State Primary (Parkway),6,6,6,7346.0,MOUNTAIN PKY NC,STONER- EPHESUS ROAD,160 FT TWIN 3-50 FT R.C.D.G. SPANS - 15 DEG SKEW,"A Open, no restriction",,1 Highway,1 Highway
