TRAK_PROGRAM,DISTRICT,COUNTY,CONTRACT_ID,SYP_NO,FUND_CODE,PROGRAM_CODE,FED_PROJECT_NUM,CONTRACTOR,PROJECT_NM,LETTING_DATE,AWARD_AMOUNT,CALCULATED_AWARDED_AMOUNT
Highway Improvement,District 08,Rockcastle,251022,08-08952.00,,NHPP,NHPP 4611(008),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10204612522,2025-08-21,35987096.82,24081710.22
Highway Improvement,District 08,Rockcastle,251022,08-80106.00,,NHPP,NHPP 5201(009),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10200252522,2025-08-21,35987096.82,11905386.6
Highway Improvement,District 08,Rockcastle,251112,08-22370.00,STP,,STP 1501(134),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10201502512,2025-08-21,893898.26,893898.26
Rural Roads Projects,District 08,Cumberland,253108,,,CB06,CB06 029 0449 005-007,GADDIE-SHAMROCK LLC,0802904492501,2025-08-21,368996.03,143139.03
Rural Roads Projects,District 08,Cumberland,253108,,,CB06,CB06 029 0704 000-002,GADDIE-SHAMROCK LLC,0802907042501,2025-08-21,368996.03,124581.35
Rural Roads Projects,District 08,Cumberland,253108,,,CB06,CB06 029 0496 000-001,GADDIE-SHAMROCK LLC,0802904962501,2025-08-21,368996.03,101275.65
Miscellaneous,District 08,McCreary,252335,08-04322.00,,FD04,FD04 074 0700 013-016,GEORGE B STONE CO LLC,MP07407002501,2025-08-21,348922.0,348922.0
Bridge Asset Management,District 08,Wayne,252950,,,FE02,FE02 116 0090 B00044N,EURO PAINT LLC,MB11600902502,2025-07-24,1276810.0,468386.9
Bridge Asset Management,District 08,Wayne,252950,,,FE02,FE02 116 0090 B00036N,EURO PAINT LLC,MB11600902501,2025-07-24,1276810.0,808423.1
Bridge Asset Management,District 08,Casey,252900,03-40002.00,,FE02,FE02 023 0070 B00003N,DELONG CONCRETE LLC,MB02300702501,2025-07-24,374838.82,216391.28
Bridge Asset Management,District 08,Casey,252900,03-40002.00,,FE02,FE02 023 0049 B00067N,DELONG CONCRETE LLC,MB02300492501,2025-07-24,374838.82,158447.54
Rural Roads Projects,District 08,Rockcastle,253085,,,CB06,CB06 102 1797 000-002,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,0810217972501,2025-07-24,556150.32,138496.33
Rural Roads Projects,District 08,Rockcastle,253085,,,CB06,CB06 102 3274 000-005,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,0810232742501,2025-07-24,556150.32,417653.99
Pavement Asset Management,District 08,Lincoln,252297,,,FD05,FD05 069 0027 019-022,THE ALLEN COMPANY INC,MP06900272501,2025-07-24,537622.59,537622.59
Rural Roads Projects,District 08,Wayne,253083,,,CB06,CB06 116 0167 013-021,MAGO CONSTRUCTION COMPANY LLC,0811601672501,2025-07-24,644361.54,644361.54
Highway Improvement,District 08,McCreary,251313,08-80101.00,,FD04,FD04 074 0027 011-012,HINKLE CONTRACTING COMPANY LLC,DE07400272513,2025-06-26,1846652.83,1846652.83
Rural Roads Projects,District 08,Rockcastle,253065,,,CB06,CB06 102 1229 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,0810212292401,2025-06-26,476432.4,303012.47
Rural Roads Projects,District 08,Rockcastle,253065,,,CB06,CB06 102 1326 000-003,L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,0810213262401,2025-06-26,476432.4,173419.93
Rural Roads Projects,District 08,Adair,253062,,,CB06,CB06 001 0533 001-004,GADDIE-SHAMROCK LLC,0800105332502,2025-06-26,526600.03,149628.59
Rural Roads Projects,District 08,Adair,253062,,,CB06,CB06 001 2973 000-002,GADDIE-SHAMROCK LLC,0800129732501,2025-06-26,526600.03,150337.68
Rural Roads Projects,District 08,Adair,253062,,,CB06,CB06 001 0533 000-001,GADDIE-SHAMROCK LLC,0800105332501,2025-06-26,526600.03,100820.47
Rural Roads Projects,District 08,Adair,253062,,,CB06,CB06 001 0768 029-031,GADDIE-SHAMROCK LLC,0800107682501,2025-06-26,526600.03,125813.29
Rural Roads Projects,District 08,Russell,253061,,,CB06,CB06 104 0619 016-018,GADDIE-SHAMROCK LLC,0810406192501,2025-06-26,463059.73,116698.73
Rural Roads Projects,District 08,Russell,253061,,,CB06,CB06 104 3017 000-001,GADDIE-SHAMROCK LLC,0810430172501,2025-06-26,463059.73,129675.95
Rural Roads Projects,District 08,Russell,253061,,,CB06,CB06 104 0092 006-009,GADDIE-SHAMROCK LLC,0810400922501,2025-06-26,463059.73,216685.05
Miscellaneous,District 08,Various,252219,,,FE06,FE06 116 0167 017-018,GEORGE B STONE CO LLC,MP11601672501,2025-05-22,131248.0,96678.55
Miscellaneous,District 08,Various,252219,,,FE06,FE06 069 1194 002-003,GEORGE B STONE CO LLC,MP06911942501,2025-05-22,131248.0,34569.45
Pavement Asset Management,District 08,Lincoln,252229,,,FD05,FD05 069 0039 000-009,THE ALLEN COMPANY INC,MP06900392501,2025-05-22,1055416.47,1055416.47
Pavement Asset Management,District 08,McCreary,252232,,,FD05,FD05 074 0027 012-020,HINKLE CONTRACTING COMPANY LLC,MP07400272502,2025-05-22,2694099.25,2694099.25
Rural Roads Projects,District 08,Pulaski,253033,,,CB06,CB06 100 0328 003-006,HINKLE CONTRACTING COMPANY LLC,0810003282502,2025-05-22,1045357.9,264211.76
Rural Roads Projects,District 08,Pulaski,253033,,,CB06,CB06 100 0761 000-003,HINKLE CONTRACTING COMPANY LLC,0810007612502,2025-05-22,1045357.9,302088.23
Rural Roads Projects,District 08,Pulaski,253033,,,CB06,CB06 100 0235 000-003,HINKLE CONTRACTING COMPANY LLC,0810002352502,2025-05-22,1045357.9,304399.05
Rural Roads Projects,District 08,Pulaski,253033,,,CB06,CB06 100 1956 000-002,HINKLE CONTRACTING COMPANY LLC,0810019562501,2025-05-22,1045357.9,174658.85
Rural Roads Projects,District 08,Clinton,253036,,,CB06,CB06 027 3066 000-003,GADDIE-SHAMROCK LLC,0802730662501,2025-05-22,480374.65,271345.14
Rural Roads Projects,District 08,Clinton,253036,,,CB06,CB06 027 1576 000-004,GADDIE-SHAMROCK LLC,0802715762501,2025-05-22,480374.65,209029.51
Rural Roads Projects,District 08,McCreary,253037,,,CB06,CB06 074 0700 000-006,HINKLE CONTRACTING COMPANY LLC,0807407002501,2025-05-22,677271.4,677271.4
Rural Roads Projects,District 08,Lincoln,253032,,,CB06,CB06 069 0198 000-004,THE ALLEN COMPANY INC,0806901982501,2025-05-22,625396.78,365586.08
Rural Roads Projects,District 08,Lincoln,253032,,,CB06,CB06 069 1247 008-009,THE ALLEN COMPANY INC,0806912472501,2025-05-22,625396.78,82314.79
Rural Roads Projects,District 08,Lincoln,253032,,,CB06,CB06 069 2141 001-003,THE ALLEN COMPANY INC,0806921412501,2025-05-22,625396.78,177495.91
Miscellaneous,District 08,Russell,252193,,,CPTL,CPTL 104 8007 000-005,REYNOLDS SEALING AND STRIPING INC,MP10480072501,2025-04-24,46281.5,46281.5
Highway Improvement,District 08,Rockcastle,251307,08-22110.00,,NHPP,NHPP 0752(105),L-M ASPHALT PARTNERS LTD D/B/A ATS CONSTRUCTION,DE10200752507,2025-04-24,3180935.32,3180935.32
Pavement Asset Management,District 08,Adair,252138,,,FD05,FD05 001 0080 013-023,GADDIE-SHAMROCK LLC,MP00100802501,2025-03-20,1163670.22,1163670.22
Pavement Asset Management,District 08,Casey,252119,,,FD05,FD05 023 0070 012-016,HINKLE CONTRACTING COMPANY LLC,MP02300702501,2025-03-20,739693.03,657028.64
Pavement Asset Management,District 08,Casey,252119,,,FD05,FD05 023 0817 000-001,HINKLE CONTRACTING COMPANY LLC,MP02308172501,2025-03-20,739693.03,82664.39
Highway Improvement,District 08,Pulaski,251104,08-00174.00,STP,,STP 6000206,RAME CONTRACTING LLC,DE10001002504,2025-03-20,4377579.36,4377579.36
Pavement Asset Management,District 08,Pulaski,252121,,,FD05,FD05 100 0080 005-017,HINKLE CONTRACTING COMPANY LLC,MP10000802501,2025-03-20,1805323.7,1805323.7
Pavement Asset Management,District 08,Pulaski,252097,,,FD05,FD05 100 2292 000-003,HINKLE CONTRACTING COMPANY LLC,MP10022922501,2025-03-20,963376.31,742822.59
Pavement Asset Management,District 08,Pulaski,252097,,,FD05,FD05 100 2298 000-001,HINKLE CONTRACTING COMPANY LLC,MP10022982501,2025-03-20,963376.31,220553.73
Miscellaneous,District 08,Various,252008,,,FE01,FE01 121 DW25 0080000,OGLESBY CONSTRUCTION INC,MP12100002508,2025-02-20,1390443.59,1390443.59
Rural Roads Projects,District 08,Pulaski,253012,,,CB06,CB06 100 0235 003-005,HINKLE CONTRACTING COMPANY LLC,0810002352501,2025-02-20,1040380.5,255226.11
Rural Roads Projects,District 08,Pulaski,253012,,,CB06,CB06 100 0761 002-007,HINKLE CONTRACTING COMPANY LLC,0810007612501,2025-02-20,1040380.5,420372.15
Rural Roads Projects,District 08,Pulaski,253012,,,CB06,CB06 100 0328 000-004,HINKLE CONTRACTING COMPANY LLC,0810003282501,2025-02-20,1040380.5,364782.24
Pavement Asset Management,District 08,Lincoln,252072,,,FD05,FD05 069 0078 002-009,THE ALLEN COMPANY INC,MP06900782501,2025-02-20,850224.37,850224.37
Pavement Asset Management,District 08,Adair,252052,,,FD05,FD05 001 0080 006-012,GADDIE-SHAMROCK LLC,MP00100802401,2025-01-23,872673.98,644305.95
Pavement Asset Management,District 08,Adair,252052,,,FD05,FD05 001 0061 012-014,GADDIE-SHAMROCK LLC,MP00100612401,2025-01-23,872673.98,228368.03
Rural Roads Projects,District 08,McCreary,253001,,,CB06,CB06 074 2278 000-001,HINKLE CONTRACTING COMPANY LLC,0807422782501,2025-01-23,627528.01,67870.87
Rural Roads Projects,District 08,McCreary,253001,,,CB06,CB06 074 1651 000-004,HINKLE CONTRACTING COMPANY LLC,0807416512501,2025-01-23,627528.01,559657.14
Pavement Asset Management,District 08,Lincoln,252015,,,FD05,FD05 069 0127 000-011,THE ALLEN COMPANY INC,MP06901272501,2025-01-23,1408057.24,1408057.24
