"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS","RT_UNIQUE","GEOMETRY_WKT"
"District 07","Various","07-00087.40","","","","NEW ROUTE(O)","","","CONSTRUCT NEW INTERCHANGE AT US 27 AND NICHOLASVILLE BYPASS.","","2026","2026","C","SPP","72430000","2032","","","","",""
"District 07","Various","07-08908.00","","","","NEW ROUTE(O)","","","EXTEND FALLING SPRINGS BLVD FROM TYRONE PIKE (US-62) TO CLIFTON ROAD (KY-1964) (2026CCN)","","2016","2026","C","SPP","9550000","2031","","","","",""
"District 07","Various","07-08908.00","","","","NEW ROUTE(O)","","","EXTEND FALLING SPRINGS BLVD FROM TYRONE PIKE (US-62) TO CLIFTON ROAD (KY-1964) (2026CCN)","","2016","2026","D","SPP","1020000","2027","","","","",""
"District 07","Various","07-08908.00","","","","NEW ROUTE(O)","","","EXTEND FALLING SPRINGS BLVD FROM TYRONE PIKE (US-62) TO CLIFTON ROAD (KY-1964) (2026CCN)","","2016","2026","U","SPP","5180000","2030","","","","",""
"District 07","Various","07-08908.00","","","","NEW ROUTE(O)","","","EXTEND FALLING SPRINGS BLVD FROM TYRONE PIKE (US-62) TO CLIFTON ROAD (KY-1964) (2026CCN)","","2016","2026","R","SPP","3510000","2030","","","","",""
"District 07","Various","07-80000.00","","","","NEW ROUTE(O)","","","CONSTRUCT A NEW CONNECTOR ROAD ON THE EAST SIDE OF DANVILLE CONNECTING KY-34 AND US-150 BYPASS(18CCN) (2020CCR) (2026CCN)","","2018","2026","U","SPP","3000000","2030","","","","",""
"District 07","Various","07-80000.00","","","","NEW ROUTE(O)","","","CONSTRUCT A NEW CONNECTOR ROAD ON THE EAST SIDE OF DANVILLE CONNECTING KY-34 AND US-150 BYPASS(18CCN) (2020CCR) (2026CCN)","","2018","2026","R","SPP","6600000","2029","","","","",""
"District 07","Various","07-80000.00","","","","NEW ROUTE(O)","","","CONSTRUCT A NEW CONNECTOR ROAD ON THE EAST SIDE OF DANVILLE CONNECTING KY-34 AND US-150 BYPASS(18CCN) (2020CCR) (2026CCN)","","2018","2026","C","SPP","43750000","2031","","","","",""
"District 07","Anderson","07-08100.10","US","62","US-62","SAFETY(P)","17.842","18.276","WIDENING WITH ACCESS IMPROVEMENTS TO ANDERSON CROSSING ON US62, FROM 0.2MI W OF CORPORATE DR TO US127B (LAWRENCEBURG BYPASS). PRIORITY SECTION (2016BOP) (2024CCN)","","2024","2026","R","STP1","5040000","2027","","","","003-US-0062-000","LINESTRING (-84.915674406 38.0170531259, -84.9154883887 38.0171119988, -84.9152667365 38.0171884278, -84.9148409992 38.0173532189, -84.9146334193 38.0174437537, -84.9144292483 38.0175398046, -84.9140391943 38.0177413718, -84.9138477507 38.0178476738, -84.9136572556 38.0179619465, -84.9134747356 38.0180770999, -84.9126116327 38.0186650208, -84.9113019419 38.0195389556, -84.910269384 38.0202492422, -84.9095177026 38.0207733937, -84.9093251963 38.0209107145)"
"District 07","Anderson","07-08100.10","US","62","US-62","SAFETY(P)","17.842","18.276","WIDENING WITH ACCESS IMPROVEMENTS TO ANDERSON CROSSING ON US62, FROM 0.2MI W OF CORPORATE DR TO US127B (LAWRENCEBURG BYPASS). PRIORITY SECTION (2016BOP) (2024CCN)","","2024","2026","U","STP1","4160000","2030","","","","003-US-0062-000","LINESTRING (-84.915674406 38.0170531259, -84.9154883887 38.0171119988, -84.9152667365 38.0171884278, -84.9148409992 38.0173532189, -84.9146334193 38.0174437537, -84.9144292483 38.0175398046, -84.9140391943 38.0177413718, -84.9138477507 38.0178476738, -84.9136572556 38.0179619465, -84.9134747356 38.0180770999, -84.9126116327 38.0186650208, -84.9113019419 38.0195389556, -84.910269384 38.0202492422, -84.9095177026 38.0207733937, -84.9093251963 38.0209107145)"
"District 07","Anderson","07-08100.10","US","62","US-62","SAFETY(P)","17.842","18.276","WIDENING WITH ACCESS IMPROVEMENTS TO ANDERSON CROSSING ON US62, FROM 0.2MI W OF CORPORATE DR TO US127B (LAWRENCEBURG BYPASS). PRIORITY SECTION (2016BOP) (2024CCN)","","2024","2026","C","STP1","6760000","2031","","","","003-US-0062-000","LINESTRING (-84.915674406 38.0170531259, -84.9154883887 38.0171119988, -84.9152667365 38.0171884278, -84.9148409992 38.0173532189, -84.9146334193 38.0174437537, -84.9144292483 38.0175398046, -84.9140391943 38.0177413718, -84.9138477507 38.0178476738, -84.9136572556 38.0179619465, -84.9134747356 38.0180770999, -84.9126116327 38.0186650208, -84.9113019419 38.0195389556, -84.910269384 38.0202492422, -84.9095177026 38.0207733937, -84.9093251963 38.0209107145)"
"District 07","Anderson","07-10065.00","KY","44","KY-44","AM-BRIDGE (P)","2.971","2.983","ADDRESS DEFICIENCIES OF BRIDGE ON KY 44 OVER TIMBER CREEK (003B00028N)","003B00028N","2024","2026","C","BRX","1584890","2028","","","","003-KY-0044-000","LINESTRING (-85.0755287614 38.0046464161, -85.0753148383 38.004605043)"
