"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS"
"District 11","Bell","11-00167.00","KY","74","KY-74","BIKE/PED FACIL(O)","15.19","16.75","ENHANCING CUMBERLAND AVENUE FROM US 25E TO 18TH STREET WITH STREET IMPROVEMENTS FOR VEHICLE AND PEDESTRIANS, AS WELL AS STORM WATER MANAGEMENT TO IMPROVE SAFETY, CONGESTION, AND ENVIRONMENTAL IMPACT. (2020CCR) (2024CCR)","","2020","2026","C","SPP","17580000","2029","","",""
"District 11","Bell","11-00167.00","KY","74","KY-74","BIKE/PED FACIL(O)","15.19","16.75","ENHANCING CUMBERLAND AVENUE FROM US 25E TO 18TH STREET WITH STREET IMPROVEMENTS FOR VEHICLE AND PEDESTRIANS, AS WELL AS STORM WATER MANAGEMENT TO IMPROVE SAFETY, CONGESTION, AND ENVIRONMENTAL IMPACT. (2020CCR) (2024CCR)","","2020","2026","R","SPP","580000","2026","","",""
"District 11","Bell","11-00167.00","KY","74","KY-74","BIKE/PED FACIL(O)","15.19","16.75","ENHANCING CUMBERLAND AVENUE FROM US 25E TO 18TH STREET WITH STREET IMPROVEMENTS FOR VEHICLE AND PEDESTRIANS, AS WELL AS STORM WATER MANAGEMENT TO IMPROVE SAFETY, CONGESTION, AND ENVIRONMENTAL IMPACT. (2020CCR) (2024CCR)","","2020","2026","U","SPP","3860000","2029","","",""
"District 11","Bell","11-04395.00","KY","2011","KY-2011","SAF-GUARDRAIL(P)","2.39","2.71","INSTALL GUARDRAIL ON KY-2011   IN BELL COUNTY","","2020","2026","C","GR","80000","2026","","",""
"District 11","Bell","11-04397.00","KY","66","KY-66","SAF-GUARDRAIL(P)","16.23","16.69","INSTALL GUARDRAIL ON KY-66   IN BELL COUNTY","","2020","2026","C","GR","110000","2026","","",""
"District 11","Bell","11-08702.00","US","119","US-119","MINOR WIDENING(O)","3.7","5.2","PROVIDE PASSING OPPORTUNITIES ON US 119 IN THE VICINITY OF MP 4.5 IN BELL COUNTY. (12CCN)(14CCR) (2020CCN) (2024CCR)","","2012","2026","U","SPP","610000","2029","","",""
"District 11","Bell","11-08702.00","US","119","US-119","MINOR WIDENING(O)","3.7","5.2","PROVIDE PASSING OPPORTUNITIES ON US 119 IN THE VICINITY OF MP 4.5 IN BELL COUNTY. (12CCN)(14CCR) (2020CCN) (2024CCR)","","2012","2026","R","SPP","1240000","2029","","",""
"District 11","Bell","11-08702.00","US","119","US-119","MINOR WIDENING(O)","3.7","5.2","PROVIDE PASSING OPPORTUNITIES ON US 119 IN THE VICINITY OF MP 4.5 IN BELL COUNTY. (12CCN)(14CCR) (2020CCN) (2024CCR)","","2012","2026","C","SPP","5600000","2030","","",""
"District 11","Bell","11-10101.00","CS","2222","CS-2222","AM-BRIDGE (P)","0.245","0.265","BRIDGE PROJECT IN BELL COUNTY ON (007C00072N) 17TH STREET AT YELLOW CREEK","007C00072N","2022","2026","D","BRZ","90720","2029","","",""
"District 11","Bell","11-10101.00","CS","2222","CS-2222","AM-BRIDGE (P)","0.245","0.265","BRIDGE PROJECT IN BELL COUNTY ON (007C00072N) 17TH STREET AT YELLOW CREEK","007C00072N","2022","2026","C","BRZ","604802","2029","","",""
"District 11","Bell","11-10167.00","KY","66","KY-66","AM-BRIDGE (P)","6.774","6.792","BRIDGE PROJECT IN BELL COUNTY ON (007B00007N) KY-66 AT SIMS FORK","007B00007N","2022","2026","D","FBP","250108","2032","","",""
"District 11","Bell","11-10167.00","KY","66","KY-66","AM-BRIDGE (P)","6.774","6.792","BRIDGE PROJECT IN BELL COUNTY ON (007B00007N) KY-66 AT SIMS FORK","007B00007N","2022","2026","C","FBP","1667385","2032","","",""
"District 11","Bell","11-10169.00","US","25","US-25","AM-BRIDGE (P)","6.211","6.265","BRIDGE PROJECT IN BELL COUNTY ON (007B00024L) US-25E-10 AT YELLOW CREEK","007B00024L","2022","2026","D","BRO","805362","2032","","",""
"District 11","Bell","11-10170.00","KY","1534","KY-1534","AM-BRIDGE (P)","4.106","4.11","BRIDGE PROJECT IN BELL COUNTY ON (007B00051N) KY-1534 AT WILLIAMS BRANCH","007B00051N","2022","2026","C","BRX","650440","2031","","",""
"District 11","Bell","11-10170.00","KY","1534","KY-1534","AM-BRIDGE (P)","4.106","4.11","BRIDGE PROJECT IN BELL COUNTY ON (007B00051N) KY-1534 AT WILLIAMS BRANCH","007B00051N","2022","2026","D","BRX","97566","2031","","",""
"District 11","Bell","11-10171.00","KY","66","KY-66","AM-BRIDGE (P)","17.921","17.929","BRIDGE PROJECT IN BELL COUNTY ON (007B00055N) KY-66 AT RED BIRD CREEK","007B00055N","2022","2026","C","BRX","1046035","2028","","",""
"District 11","Bell","11-10171.00","KY","66","KY-66","AM-BRIDGE (P)","17.921","17.929","BRIDGE PROJECT IN BELL COUNTY ON (007B00055N) KY-66 AT RED BIRD CREEK","007B00055N","2022","2026","R","BRX","10000","2028","","",""
"District 11","Bell","11-10171.00","KY","66","KY-66","AM-BRIDGE (P)","17.921","17.929","BRIDGE PROJECT IN BELL COUNTY ON (007B00055N) KY-66 AT RED BIRD CREEK","007B00055N","2022","2026","U","BRX","10000","2028","","",""
"District 11","Bell","11-10239.00","KY","217","KY-217","AM-BRIDGE (P)","8.771","8.783","BRIDGE PROJECT IN BELL COUNTY ON (007C00072N) 17TH STREET AT YELLOW CREEK","007C00072N","2026","2026","C","FBP","1349640","2028","","",""
"District 11","Bell","11-10239.00","KY","217","KY-217","AM-BRIDGE (P)","8.771","8.783","BRIDGE PROJECT IN BELL COUNTY ON (007C00072N) 17TH STREET AT YELLOW CREEK","007C00072N","2026","2026","D","FBP","202446","2028","","",""
"District 11","Bell","11-22303.00","US","119","US-119","AM-PAVEMENT (PRI)(P)","13.885","15.88","ADDRESS CONDITION OF US-119 FROM MILEPOINT 13.88 TO MILEPOINT 15.88","","2022","2026","C","STP","3661186","2027","","",""
"District 11","Bell","11-22303.00","US","119","US-119","AM-PAVEMENT (PRI)(P)","13.885","15.88","ADDRESS CONDITION OF US-119 FROM MILEPOINT 13.88 TO MILEPOINT 15.88","","2022","2026","D","STP","318364","2027","","",""
"District 11","Bell","11-80300.00","US","119","US-119","PLANNING-OKI(O)","0.0","8.0","Improve mobility by constructing a 2+1 road on US 119 in Bell County by adding a continuous third lane that serves as an alternate passing lane (MP 3.5 - 9.3). (2024CCN)","","2024","2026","D","NH","2330000","2027","","",""
"District 11","Bell","11-80300.00","US","119","US-119","PLANNING-OKI(O)","0.0","8.0","Improve mobility by constructing a 2+1 road on US 119 in Bell County by adding a continuous third lane that serves as an alternate passing lane (MP 3.5 - 9.3). (2024CCN)","","2024","2026","U","NH","2320000","2031","","",""
"District 11","Bell","11-80300.00","US","119","US-119","PLANNING-OKI(O)","0.0","8.0","Improve mobility by constructing a 2+1 road on US 119 in Bell County by adding a continuous third lane that serves as an alternate passing lane (MP 3.5 - 9.3). (2024CCN)","","2024","2026","R","NH","2400000","2030","","",""
"District 11","Bell","11-80300.00","US","119","US-119","PLANNING-OKI(O)","0.0","8.0","Improve mobility by constructing a 2+1 road on US 119 in Bell County by adding a continuous third lane that serves as an alternate passing lane (MP 3.5 - 9.3). (2024CCN)","","2024","2026","C","NH","30000000","2032","","",""
