"DISTRICT","COUNTY","SYP_NO","ROUTE_PREFIX","ROUTE_NO","ROUTE","TYPE_WORK","BMP","EMP","DESCRIPTION","BRIDGE_ID","ENACT_INITIAL_YEAR","ENACT_YEAR","ENACT_PHASE","FUND_CODE","RSY_FUND","RSY_YEAR","LATEST_LETTING_DATE","AWARDED","NUMBER_OF_LETTINGS"
"Various","Statewide","99-00065.19","CO","0","CO-0","AM-BRIDGE (P)","","","BRIDGE REPAIRS ON VARIOUS BRIDGES FOR FY 2026 THROUGH FY 2032. (2024CCR)","","2016","2026","C","BRO","35000000","2026","","",""
"Various","Statewide","99-00065.20","CO","0","CO-0","AM-BRIDGE (P)","","","BRIDGE REPAIRS ON VARIOUS BRIDGES FOR FY 2026 THROUGH FY 2032. (2024CCR)","","2018","2026","C","BRX","9000000","2026","","",""
"Various","Statewide","99-00065.21","CO","0","CO-0","AM-BRIDGE (P)","","","BRIDGE REPAIRS ON VARIOUS OFF SYSTEM BRIDGES FOR FY 2026 THROUGH FY 2032. (2024CCR)","","2018","2026","C","BRZ","7000000","2026","","",""
"Various","Statewide","99-00065.22","CO","0","CO-0","AM-BRIDGE (P)","","","BRIDGE REPAIRS ON VARIOUS BRIDGES FOR FY 2026-2032. (FBP PROGRAM) (2024CCR)","","2022","2026","C","FBP","35000000","2026","","",""
"Various","Statewide","99-00065.23","CO","0","CO-0","AM-BRIDGE (P)","","","BRIDGE REPAIRS ON VARIOUS BRIDGES FOR FY 2026-2032. (FBP2 PROGRAM)","","2022","2026","C","FBP","14000000","2026","","",""
"Various","Statewide","99-00066.19","CO","0","CO-0","ITS(P)","","","'ITS' AND 'TSMO' ACTIVITIES ON VARIOUS NHS ROUTES IN KENTUCKY FOR FY 2027 THROUGH FY 2032. (2024CCR)","","2018","2026","C","NH","30000000","2027","","",""
"Various","Statewide","99-00066.21","CO","0","CO-0","ITS(P)","","","Transportation Systems Management and Operations (TSMO) activities on various routes for FY-2022 through FY 2028. (2024CCR) (2026CCR)","","2022","2026","C","SPP","9500000","2027","","",""
"Various","Statewide","99-00195.16","CO","0","CO-0","TRANSP ENHANCEMENT(P)","","","STATEWIDE TRANSPORTATION ALTERNATIVES PROGRAM FOR FY 2026 THROUGH FY 2032 (2024CCR)","","2008","2026","C","TAP","86100000","2026","","",""
"Various","Statewide","99-00219.18","CO","0","CO-0","CONGESTION MITIGTN(O)","","","NON-ATTAINMENT AREAS STATEWIDE CMAQ FUNDED PROJECTS FOR FY 2026 THROUGH FY 2032. (2024CCR)","","2014","2026","C","CM","56700000","2026","","",""
"Various","Statewide","99-00224.14","CO","0","CO-0","AM-PAVEMENT (PRI)(P)","","","PAVEMENT REHAB ON STATE (NON RS) SYSTEM ROUTES IN KENTUCKY FOR FY 2026 THROUGH FY 2032. (2024CCR)","","2016","2026","C","STP","30000000","2027","","",""
