TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Highway Improvement,District 10,Breathitt,10-00376.00,KY 15,KY-15,U,FD52,,1100,,9440701U,1.1500,MAJOR WIDENING,4,16,94407,2022-02-24,IMPROVE KY-15 FROM THE INTERSECTION OF NEW KY-15/30 TO INTERSECTION OF KY-1812. (2020CCR),THIS AUTHORIZTION PROVIDES FEDERAL NH FUNDS FOR THE UTILIY PHASE OF THE PROJECT WITH STATE FUND MATCH.,2022,2022,60000.0
Rural Roads Projects,District 10,Breathitt,,KY 541,"KY 541 (KY 541),KY 1098 (KY 10",C,CB06,,1100,253043,1982101C,4.3629,BIT. RESURFACE,0,0,19821,2025-07-11,"BIT. RESURFACING - FROM KY 52, EXTENDING NORTHERLY TO JAMES GROSS RD (CR 1374). ,BIT. RESURFACING -  FROM BIG LOVELY RD (CR 1024), EXTENDING SOUTHWARDLY TO THE BREATHITT - KNOTT COUNTY LINE. ",THIS REFLECTS LOW BID PLUS 10% CONSTR. &amp; ENGR. ,2026,2026,630810.0
Highway Improvement,District 10,Breathitt,10-00376.00,KY 15,KY-15,R,FD52,M001,1200,,9440701U,1.1500,MAJOR WIDENING,4,16,94407,2022-02-24,IMPROVE KY-15 FROM THE INTERSECTION OF NEW KY-15/30 TO INTERSECTION OF KY-1812. (2020CCR),THIS AUTHORIZTION PROVIDES FEDERAL NH FUNDS FOR THE UTILIY PHASE OF THE PROJECT WITH STATE FUND MATCH.,2021,2022,0.0
Highway Improvement,District 10,Breathitt,10-00376.00,KY 15,KY-15,U,FD52,Z0E1,1200,,9440701R,1.1500,MAJOR WIDENING,7,16,94407,2022-10-20,IMPROVE KY-15 FROM THE INTERSECTION OF NEW KY-15/30 TO INTERSECTION OF KY-1812. (2020CCR),"THIS MODIFICATION PROVIDES $1,250,000 FEDERAL NH FUNDS TO COVER R/W COST ON THE PROJECT WITH STATE FUND MATCH.",2023,2023,0.0
Bridge Asset Management,District 10,Breathitt,,CR 1006,SWIFT BRANCH ROAD,C,FD51,,1300,237001,1625901C,,BRIDGE REPLACEMENT,1,1,16259,2025-09-08,SWIFT BRANCH ROAD (CR 1006) BRIDGE 013C00086N OVER SOUTH FORK QUICKSAND AT MP 00.02 BRIDGE REPLACEMENT.,THIS MODIFICATION PROVIDES ADDITIONAL FD51 FEMA FUNDS WITH EK58 MATCHING FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES AND PROJECT OVERSIGHT. DISASTER #4663 - JULY 2022 FLOODING; FEMA WILL REIMBURSE THE CABINET 87% OF THE PROJECT COST.,2023,2026,0.0
Bridge Asset Management,District 10,Breathitt,,CR 1006,SWIFT BRANCH ROAD,C,FD51,,1300,237001,1625901C,,BRIDGE REPLACEMENT,1,1,16259,2025-09-08,SWIFT BRANCH ROAD (CR 1006) BRIDGE 013C00086N OVER SOUTH FORK QUICKSAND AT MP 00.02 BRIDGE REPLACEMENT.,THIS MODIFICATION PROVIDES ADDITIONAL FD51 FEMA FUNDS WITH EK58 MATCHING FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES AND PROJECT OVERSIGHT. DISASTER #4663 - JULY 2022 FLOODING; FEMA WILL REIMBURSE THE CABINET 87% OF THE PROJECT COST.,2026,2026,8700.0
Bridge Asset Management,District 10,Breathitt,,CR 1006,SWIFT BRANCH ROAD,C,EK58,,1300,237001,1625901C,,BRIDGE REPLACEMENT,1,1,16259,2025-09-08,SWIFT BRANCH ROAD (CR 1006) BRIDGE 013C00086N OVER SOUTH FORK QUICKSAND AT MP 00.02 BRIDGE REPLACEMENT.,THIS MODIFICATION PROVIDES ADDITIONAL FD51 FEMA FUNDS WITH EK58 MATCHING FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES AND PROJECT OVERSIGHT. DISASTER #4663 - JULY 2022 FLOODING; FEMA WILL REIMBURSE THE CABINET 87% OF THE PROJECT COST.,2023,2026,0.0
Bridge Asset Management,District 10,Breathitt,,CR 1006,SWIFT BRANCH ROAD,C,EK58,,1300,237001,1625901C,,BRIDGE REPLACEMENT,1,1,16259,2025-09-08,SWIFT BRANCH ROAD (CR 1006) BRIDGE 013C00086N OVER SOUTH FORK QUICKSAND AT MP 00.02 BRIDGE REPLACEMENT.,THIS MODIFICATION PROVIDES ADDITIONAL FD51 FEMA FUNDS WITH EK58 MATCHING FUNDS TO COVER CURRENT CONSTRUCTION EXPENDITURES AND PROJECT OVERSIGHT. DISASTER #4663 - JULY 2022 FLOODING; FEMA WILL REIMBURSE THE CABINET 87% OF THE PROJECT COST.,2026,2026,1300.0
Highway Improvement,District 10,Breathitt,10-00376.00,KY 15,KY-15,R,FD52,,1100,,9440701U,1.1500,MAJOR WIDENING,4,16,94407,2022-02-24,IMPROVE KY-15 FROM THE INTERSECTION OF NEW KY-15/30 TO INTERSECTION OF KY-1812. (2020CCR),THIS AUTHORIZTION PROVIDES FEDERAL NH FUNDS FOR THE UTILIY PHASE OF THE PROJECT WITH STATE FUND MATCH.,2021,2022,0.0
Highway Improvement,District 10,Breathitt,10-00376.00,KY 15,KY-15,U,FD52,Z0E1,1200,,9440701U,1.1500,MAJOR WIDENING,4,16,94407,2022-02-24,IMPROVE KY-15 FROM THE INTERSECTION OF NEW KY-15/30 TO INTERSECTION OF KY-1812. (2020CCR),THIS AUTHORIZTION PROVIDES FEDERAL NH FUNDS FOR THE UTILIY PHASE OF THE PROJECT WITH STATE FUND MATCH.,2022,2022,240000.0
