TRAK_ORG_PROGRAM,DISTRICT,COUNTY,ITEM_NUMBER,RT_NUMBER,ROAD_NAME,PHASE_CODE,PROGRAM_CODE,APPROPRIATION_CODE,FUND_NBR,CONTRACT_ID,EMARS_PROGRAM_CODE,LENGTH,PROJECT_TYPE,MOD_LEVEL,CURRENT_MOD_LEVEL,AUTH_NBR,APPROVED_DATE,SCOPE_LINES,REMARK_LINE,STATE_FISCAL_YEAR,FISCAL_YEAR,AUTHORIZED
Highway Improvement,Various,Various,, , FY24 ON THE JOB TRAINING/SUPP,N,FD52,Y490,1200,,1841501N,,,0,0,18415,2024-08-15, FY24 ON THE JOB TRAINING/SUPPORTIVE SERVICES PROGRAM,"OBLIGATE $417,412.00 OJT/SS FEDERAL FUNDS.",2025,2025,417412.0
Highway Improvement,Various,Various,, ,STATEWIDE RESILIENCY IMPROVEME,N,FD04,,1100,,1843201N,,,0,0,18432,2024-08-20,STATEWIDE RESILIENCY IMPROVEMENT PLAN,THIS AUTHORIZATION PROVIDES FD04 FUNDS TO COVER THE LETTER AGREEMENT TO UPDATE THE STATEWIDE RESILIENCY IMPROVEMENT PLAN.,2025,2025,220000.0
Highway Improvement,Various,Various,99-00292.00, ,,P,FD52,,1300,,1856601P,,,0,0,18566,2024-09-18,,,2025,2025,100000.0
Highway Improvement,Various,Various,99-00292.00, ,,P,FD52,Y810,1200,,1856601P,,,0,0,18566,2024-09-18,,,2025,2025,1360000.0
Highway Improvement,Various,Various,99-00292.00, ,,P,FD52,Y810,1100,,1856601P,,,0,0,18566,2024-09-18,,,2025,2025,240000.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1510501C,,RESTORATION & REHAB,1,1,15105,2023-09-21,,,2022,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1510501C,,RESTORATION & REHAB,1,1,15105,2023-09-21,,,2022,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1510501C,,RESTORATION & REHAB,1,1,15105,2023-09-21,,,2024,2024,-11069.4
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1510501C,,RESTORATION & REHAB,1,1,15105,2023-09-21,,,2024,2024,-99624.6
Highway Improvement,Various,Various,99-00293.00, ,RW SOFTWARE,N,FD04,,1100,,1858301N,,,0,1,18583,2024-09-20,ANALYSIS AND PURCHASE OF SOFTWARE APPLICATIONS TO ASSIST THE DIVISION OF RIGHT OF WAY IN TRACKING AND MONITORING THE STATUS OF KYTC ROADWAY PROJECTS RIGHT OF WAY ACQUISITIONS.   ,"THIS AUTHORIZATION PROVIDES $100,000 OF STATE FD04 FUNDS FOR KYTC STAFF AND OFFICE OF INFORMATION TECHNOLOGY STAFF TO ENTER INTO A CONTRACT WITH CONSULTANT TO CONDUCT AN ANALYSIS AND PURCHASE OF SOFTWARE APPLICATIONS TO ASSIST THE DIVISION OF RIGHT OF WAY IN TRACKING AND MONITORING THE STATUS OF KYTC ROADWAY PROJECTS RIGHT OF WAY ACQUISITIONS. RBR",2025,2025,100000.0
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1511401C,,RESTORATION & REHAB,1,1,15114,2023-09-21,,,2022,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1511401C,,RESTORATION & REHAB,1,1,15114,2023-09-21,,,2024,2024,-17226.2
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1511401C,,RESTORATION & REHAB,1,1,15114,2023-09-21,,,2022,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1511401C,,RESTORATION & REHAB,1,1,15114,2023-09-21,,,2024,2024,-155035.8
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1495901C,,RESTORATION & REHAB,2,2,14959,2023-09-21,,,2024,2024,-249151.5
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1495901C,,RESTORATION & REHAB,2,2,14959,2023-09-21,,,2022,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1495901C,,RESTORATION & REHAB,2,2,14959,2023-09-21,,,2023,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1495901C,,RESTORATION & REHAB,2,2,14959,2023-09-21,,,2024,2024,-27683.5
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1495901C,,RESTORATION & REHAB,2,2,14959,2023-09-21,,,2023,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1495901C,,RESTORATION & REHAB,2,2,14959,2023-09-21,,,2022,2024,0.0
Highway Improvement,Various,Various,99-00293.00, ,RW SOFTWARE,N,FD04,,1100,,1858301N,,,1,1,18583,2025-04-03,ANALYSIS AND PURCHASE OF SOFTWARE APPLICATIONS TO ASSIST THE DIVISION OF RIGHT OF WAY IN TRACKING AND MONITORING THE STATUS OF KYTC ROADWAY PROJECTS RIGHT OF WAY ACQUISITIONS.   ,"THIS MODIFICATION PROVIDES ADDITIONAL $35,000 FD04 FUNDS TO COMPLETE RIGHT OF WAY SOFTWARE ANALYSIS. ",2025,2025,35000.0
Highway Improvement,Various,Various,, ,,C,FD51,,1100,,1531801C,,RESTORATION & REHAB,2,2,15318,2023-09-21,,,2023,2024,0.0
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1531801C,,RESTORATION & REHAB,2,2,15318,2023-09-21,,,2024,2024,-153576.0
Highway Improvement,Various,Various,, ,,C,FD51,,1300,,1531801C,,RESTORATION & REHAB,2,2,15318,2023-09-21,,,2023,2024,0.0
